"Outcome","Delta","SE","z","p"
"Social desirability",0.0813555429594012,0.139345049111336,0.58384236453495,0.559326372768984
"Trajectory deviation",-685.917991374405,507.790774748925,-1.35078860326589,0.176763159872928
"Movement speed",-0.15835137842534,0.10139137479716,-1.56178352194289,0.118338994942177
