"Outcome","ATE","SE","CI_low","CI_high","z","p","p_holm"
"Trajectory deviation (H2a)",-16.1564016570619,126.173061902007,-263.451058804138,231.138255490014,-0.128049533026391,0.550945113016305,1
"Movement speed (H2b)",0.0283616344565219,0.0269032304279006,-0.0243677282499455,0.0810909971629893,1.05420925314266,0.854106437716595,1
