"Outcome","Method","ATE","SE","CI_low","CI_high","z","p"
"Social desirability (H1)","IPTW",0.226735418540862,0.0577961673311962,0.113457012127267,0.340013824954457,3.92301823824361,4.37232643720006e-05
"Social desirability (H1)","DR (cov-adj IPTW)",0.234808414326117,0.0519863522092042,0.132917036308462,0.336699792343771,4.5167318795748,3.14006705126288e-06
"Social desirability (H1)","AIPW",0.239469146222958,0.0466392352130449,0.148057924938898,0.330880367507019,5.13449985037446,1.41447659541492e-07
"Trajectory deviation (H2a)","IPTW",-16.1564016570619,126.173061902007,-263.451058804138,231.138255490014,-0.128049533026391,0.550945113016305
"Trajectory deviation (H2a)","DR (cov-adj IPTW)",-28.5642463312921,125.923911509356,-275.370577682038,218.242085019454,-0.226837349546356,0.589724890063359
"Trajectory deviation (H2a)","AIPW",-59.696669221297,118.966638631991,-292.866996301791,173.473657859197,-0.501793359111047,0.692093557509261
"Movement speed (H2b)","IPTW",0.0283616344565219,0.0269032304279006,-0.0243677282499455,0.0810909971629893,1.05420925314266,0.854106437716595
"Movement speed (H2b)","DR (cov-adj IPTW)",0.0321659477968647,0.0256766291538947,-0.0181593205891601,0.0824912161828895,1.25273249864987,0.894848462713537
"Movement speed (H2b)","AIPW",0.0312547905468743,0.0238256928047967,-0.0154427092572425,0.077952290350991,1.3118103554404,0.905207934978107
